CODE,ENGLISHNAME,SCIENTIFICNAME,RANGE
9470,Crowned Woodnymph,Thalurania colombica,LA : Guatemala to Ecuador and nw Peru
9479,Fork-tailed Woodnymph,Thalurania furcata,SA : widespread
9494,Violet-capped Woodnymph,Thalurania glaucopis,"SA : se Brazil to e Paraguay, ne Argentina and n Uruguay"
9469,Mexican Woodnymph,Thalurania ridgwayi,MA : w Mexico
9493,Long-tailed Woodnymph,Thalurania watertonii,SA : e Brazil
10048,Peruvian Sheartail,Thaumastura cora,SA : nw Peru to n Chile
9170,Pale-tailed Barbthroat,Threnetes leucurus,SA : Amazonia
9167,Sooty Barbthroat,Threnetes niger,"SA : French Guiana, ne Brazil"
9163,Band-tailed Barbthroat,Threnetes ruckeri,LA : Guatemala to Venezuela and Ecuador
10050,Sparkling-tailed Woodstar,Tilmatura dupontii,MA : c Mexico to Nicaragua
9331,Crimson Topaz,Topaza pella,SA : ne Amazonia
9335,Fiery Topaz,Topaza pyra,SA : w Amazonia
9391,Red-billed Streamertail,Trochilus polytmus,NA : Jamaica
9392,Black-billed Streamertail,Trochilus scitulus,NA : Jamaica
9758,White-tailed Hillstar,Urochroa bougueri,SA : Colombia to ne Peru
9909,Purple-bibbed Whitetip,Urosticte benjamini,SA : Colombia to ne Peru
9910,Rufous-vented Whitetip,Urosticte ruficrissa,"SA : Colombia, Ecuador"
